traditional,simplified
,
從之,从之
伻來毖殷，乃命寧予以秬鬯二卣,伻来毖殷，乃命宁予以秬鬯二卣
,
內靜外敬，能反其性，性將大定,内静外敬，能反其性，性将大定
樂羊爲魏將而攻中山,乐羊为魏将而攻中山
今魯國之羣臣以千百數，一言於季氏之私，人數非不衆，所言者一人也，安得三哉,今鲁国之群臣以千百数，一言于季氏之私，人数非不众，所言者一人也，安得三哉
,
《記》,《记》
孝有三：大孝不匱，中孝用勞，小孝用力,孝有三：大孝不匮，中孝用劳，小孝用力
,
曷爲惡剽,曷为恶剽
蘇秦欲止之，孟嘗曰：人事者，吾已盡知之矣,苏秦欲止之，孟尝曰：人事者，吾已尽知之矣
若天若地，是謂累解,若天若地，是谓累解
蕭潰,萧溃
絞、紟不在列,绞、𫄛不在列
乘乎雲氣而養乎陰陽,乘乎云气而养乎阴阳
食肉飲酒，不與人樂之,食肉饮酒，不与人乐之
將以爲安邪,将以为安邪
司馬、司空、輿帥、候正、亞旅皆受一命之服,司马、司空、舆帅、候正、亚旅皆受一命之服
以從政爲累，以逆主爲高，行私莫大焉,以从政为累，以逆主为高，行私莫大焉
弗聽,弗听
叛而伐之，服而舍之，德、刑成矣,叛而伐之，服而舍之，德、刑成矣
因使人致萬家之邑一於知伯,因使人致万家之邑一于知伯
秦饑，公令河上輸之粟,秦饥，公令河上输之粟
使戴、桓之族攻武氏於司馬子伯之館，盡逐武、穆之族,使戴、桓之族攻武氏于司马子伯之馆，尽逐武、穆之族
,
今日之受是，則前日之不受非也,今日之受是，则前日之不受非也
我生不辰，逢天僤怒,我生不辰，逢天𫢸怒
有主而無謀，三也,有主而无谋，三也
及輔氏之役，顆見老人結草以亢杜回,及辅氏之役，颗见老人结草以亢杜回
是月也，命漁師始漁,是月也，命渔师始渔
敬謀、祗德、親同，三不遠也,敬谋、祗德、亲同，三不远也
《詩》曰：禮儀卒度，笑語卒獲,《诗》曰：礼仪卒度，笑语卒获
曰：無棄灰，所易也,曰：无弃灰，所易也
,
三耦卒射,三耦卒射
此未嘗有國也，使如失國辭然者，不與楚滅也,此未尝有国也，使如失国辞然者，不与楚灭也
百姓懍懍，若崩厥角,百姓懔懔，若崩厥角
曰：山梁雌雉，時哉時哉,曰：山梁雌雉，时哉时哉
夫袪猶在,夫袪犹在
闕然不見其壤，有食之者也,阙然不见其壤，有食之者也
七年，春，宋皇瑗帥師侵鄭,七年，春，宋皇瑗帅师侵郑
仲春行秋令，則其國大水，寒氣揔至，寇戎來征,仲春行秋令，则其国大水，寒气揔至，寇戎来征
降盥,降盥
《象》曰：帝乙歸妹，不如其娣之袂良也,《象》曰：帝乙归妹，不如其娣之袂良也
,
夫必多有是說，而後及其大人,夫必多有是说，而后及其大人
占夢掌其歲時，觀天地之會，辨陰陽之氣，以日月星辰占六夢之吉凶,占梦掌其岁时，观天地之会，辨阴阳之气，以日月星辰占六梦之吉凶
天地盈虛，與時消息，而況於人乎,天地盈虚，与时消息，而况于人乎
何譏爾,何讥尔
古者貴賤皆杖,古者贵贱皆杖
卿士邦君麻冕蟻裳，入即位，太保、太史、太宗皆麻冕彤裳,卿士邦君麻冕蚁裳，入即位，太保、太史、太宗皆麻冕彤裳
三月既葬，食肉飲酒,三月既葬，食肉饮酒
禮也者，理之不可易者也,礼也者，理之不可易者也
天子之豆二十有六，諸公十有六，諸侯十有二，上大夫八，下大夫六,天子之豆二十有六，诸公十有六，诸侯十有二，上大夫八，下大夫六
,
所以不爲相者，太后不善公也,所以不为相者，太后不善公也
夏，遂因氏、頜氏、工婁氏、須遂氏饗齊戍，醉而殺之，齊人殲焉,夏，遂因氏、颌氏、工娄氏、须遂氏飨齐戍，醉而杀之，齐人歼焉
君之置其儀也不一，則下之倍法而立私理者必多矣,君之置其仪也不一，则下之倍法而立私理者必多矣
少豈可少哉,少岂可少哉
趙得藺相如，而秦不敢出,赵得蔺相如，而秦不敢出
,
縞也者，莎隨也,缟也者，莎随也
雖然，汝奚患焉,虽然，汝奚患焉
次事，大夫,次事，大夫
堯不以帝見善綣，北面而問焉,尧不以帝见善绻，北面而问焉
僉曰：益哉,佥曰：益哉
,
四月，單子如晉告急,四月，单子如晋告急
,
師行過周，王孫滿要門而窺之，曰：嗚呼,师行过周，王孙满要门而窥之，曰：呜呼
郢中不善公者，欲公之去也，必勸王多公之車,郢中不善公者，欲公之去也，必劝王多公之车
堂下之東面，郭叔掌爲天子菉幣焉，絻有繁露,堂下之东面，郭叔掌为天子菉币焉，絻有繁露
五殖之狀，甚澤以疏，離坼以臞塉,五殖之状，甚泽以疏，离坼以臞塉
,
民之回遹，職競用力,民之回遹，职竞用力
主人之公曰：殺其不能鳴者,主人之公曰：杀其不能鸣者
子曰：傷害之生久矣，與民皆生,子曰：伤害之生久矣，与民皆生
河伯曰：然則我何爲乎,河伯曰：然则我何为乎
以與其弟虺,以与其弟虺
曰：謂變非不變，可乎,曰：谓变非不变，可乎
君及祝再拜，興,君及祝再拜，兴
既生既育，比予于毒,既生既育，比予于毒
若是者浮,若是者浮
喪有四制，變而從宜，取之四時也,丧有四制，变而从宜，取之四时也
帝顓頊生自若水，實處空桑，乃登爲帝,帝颛顼生自若水，实处空桑，乃登为帝
出四孔者，其國必亡,出四孔者，其国必亡
物固有形，形固有名,物固有形，形固有名
禁九慝，昭九行，濟九醜，尊九德，止九過，務九勝，傾九戒，固九守，順九典,禁九慝，昭九行，济九丑，尊九德，止九过，务九胜，倾九戒，固九守，顺九典
今魏求從，而王不聽，是魏求害，而王辭利也,今魏求从，而王不听，是魏求害，而王辞利也
夫子曰：可也,夫子曰：可也
,
晉人圍朝歌，公會齊侯、衛侯于脾、上梁之間，謀救范、中行氏,晋人围朝歌，公会齐侯、卫侯于脾、上梁之间，谋救范、中行氏
賓坐祭，卒爵，再拜稽首,宾坐祭，卒爵，再拜稽首
庶士有正君子，其爾典聽朕教,庶士有正君子，其尔典听朕教
凡四方之事書，內史讀之,凡四方之事书，内史读之
,
臣願有言，而不敢爲楚計,臣愿有言，而不敢为楚计
其曰晉，狄之也，其狄之何也,其曰晋，狄之也，其狄之何也
對曰：某固敬具以須,对曰：某固敬具以须
,
,
葉下於𩏴，𩏴下於莧，莧下於蒲，蒲下於葦，葦下於雚，雚下於蔞，蔞下於荓，荓下於蕭，蕭下於薜，薜下於萑，,叶下于𩏴，𩏴下于苋，苋下于蒲，蒲下于苇，苇下于雚，雚下于蒌，蒌下于荓，荓下于萧，萧下于薜，薜下于萑，
《太平御覽》卷八二皇王部,《太平御览》卷八二皇王部
生今之世，志古之道，居今之俗，服古之服，舍此而爲非者，雖有，不亦鮮乎,生今之世，志古之道，居今之俗，服古之服，舍此而为非者，虽有，不亦鲜乎
,
即席，曰：可矣,即席，曰：可矣
慧曰：必無人焉,慧曰：必无人焉
脩士之喪動一鄉，屬朋友,修士之丧动一乡，属朋友
故失之者死，得之者生,故失之者死，得之者生
公事不私議,公事不私议
地生度，度生量，量生數，數生稱，稱生勝,地生度，度生量，量生数，数生称，称生胜
桓氏雖亡，必偏,桓氏虽亡，必偏
桓公曰：善,桓公曰：善
安徐而靜，柔節先定，虛心平意以待須,安徐而静，柔节先定，虚心平意以待须
得后稷，五穀殖，夔爲樂正鳥獸服,得后稷，五谷殖，夔为乐正鸟兽服
今有璞玉於此，雖萬鎰，必使玉人彫琢之,今有璞玉于此，虽万镒，必使玉人雕琢之
遂奔許,遂奔许
,
女子貞，不字，十年乃字,女子贞，不字，十年乃字
至于郊，王使人皮弁用璧勞,至于郊，王使人皮弁用璧劳
桓公曰：善,桓公曰：善
知忘是非，心之適也,知忘是非，心之适也
正寢也,正寝也
公曰：唯據與我和夫,公曰：唯据与我和夫
其無辯乎,其无辩乎
以時事天，以天事神，以神事鬼,以时事天，以天事神，以神事鬼
又筮之，遇《大有》之《乾》，曰：同復于父，敬如君所,又筮之，遇《大有》之《干》，曰：同复于父，敬如君所
名以出信，信以守器，器以藏禮，禮以行義，義以生利，利以平民，政之大節也,名以出信，信以守器，器以藏礼，礼以行义，义以生利，利以平民，政之大节也
舉士，則民務名不存本,举士，则民务名不存本
折折乎如在於側，忽忽乎如將不得，渺渺乎如窮無極,折折乎如在于侧，忽忽乎如将不得，渺渺乎如穷无极
乃案其行,乃案其行
冬，十有二月丙午，齊侯、衛侯、鄭伯來戰于郎,冬，十有二月丙午，齐侯、卫侯、郑伯来战于郎
冬，京師來告饑，公爲之請糴於宋、衛、齊、鄭，禮也,冬，京师来告饥，公为之请籴于宋、卫、齐、郑，礼也
余以蘭爲可恃兮，羌無實而容長,余以兰为可恃兮，羌无实而容长
子貢曰：大哉死乎,子贡曰：大哉死乎
妻子具而孝衰於親，嗜欲得而信衰於友，爵祿盈而忠衰於君,妻子具而孝衰于亲，嗜欲得而信衰于友，爵禄盈而忠衰于君
夏，齊侯、鄭伯如紀,夏，齐侯、郑伯如纪
,
,
,
都宗人，上士二人，中士四人，府二人，史四人，胥四人，徒四十人,都宗人，上士二人，中士四人，府二人，史四人，胥四人，徒四十人
《詩》云：媚茲一人，應侯順德,《诗》云：媚兹一人，应侯顺德
,
,
王曰：三年不翅，將以長羽翼,王曰：三年不翅，将以长羽翼
,
,
三曰廢置，以馭其吏,三曰废置，以驭其吏
樂伯左射馬，而右射人，角不能進,乐伯左射马，而右射人，角不能进
,
,
王怒，將以狄伐鄭,王怒，将以狄伐郑
三十年，春，王正月，楚子使薳頗來聘,三十年，春，王正月，楚子使䓕颇来聘
《竹書紀年》：晉烈公三年，楚人伐我南鄙，至于上洛．,《竹书纪年》：晋烈公三年，楚人伐我南鄙，至于上洛．
席于阼階西，北面，東上，無加席,席于阼阶西，北面，东上，无加席
爲取郠故，晉將以諸侯來討,为取郠故，晋将以诸侯来讨
趨進，翼如也,趋进，翼如也
退而立，如將受命,退而立，如将受命
短轂則利，長轂則安,短毂则利，长毂则安
大夫士襢之,大夫士襢之
屯余車之萬乘兮，紛溶與而並馳,屯余车之万乘兮，纷溶与而并驰
公使襄仲納賂于齊侯，故盟于郪丘,公使襄仲纳赂于齐侯，故盟于郪丘
亶厥心肆其靖之,亶厥心肆其靖之
西門豹之性急，故佩韋以緩己,西门豹之性急，故佩韦以缓己
,
駕彼四牡，四牡騤騤,驾彼四牡，四牡骙骙
亦自殺於屍下,亦自杀于尸下
孟子謂齊宣王曰：爲巨室，則必使工師求大木,孟子谓齐宣王曰：为巨室，则必使工师求大木
,
《紀年》云：韓舉，趙將．……又《紀年》云：其敗當韓威王八年．,《纪年》云：韩举，赵将．……又《纪年》云：其败当韩威王八年．
曰：蓋里相坐而已,曰：盖里相坐而已
秋，鄭伯因櫟人殺檀伯，而遂居櫟,秋，郑伯因栎人杀檀伯，而遂居栎
仲虺乃作誥，曰：嗚呼,仲虺乃作诰，曰：呜呼
天命不徹，我不敢傚我友自逸,天命不彻，我不敢效我友自逸
子曰：不仁國不化,子曰：不仁国不化
無簡不聽，具嚴天威,无简不听，具严天威
亡國之社以爲廟屏，戒也,亡国之社以为庙屏，戒也
,
吳王曰：大夫奚隆於越，越曾足以爲大虞乎,吴王曰：大夫奚隆于越，越曾足以为大虞乎
其君子上諂諛而下中正，其士民貴得利而賤武勇，其庶人好飲食而惡耕農,其君子上谄谀而下中正，其士民贵得利而贱武勇，其庶人好饮食而恶耕农
,
將止，死之,将止，死之
是故先王之制禮也以節事，脩樂以道志,是故先王之制礼也以节事，修乐以道志
,
當今之世，大臣貪重，細民安亂，甚於秦、楚之俗，而人主無悼王、孝公之聽，則法術之士安能蒙二子之危也而明,当今之世，大臣贪重，细民安乱，甚于秦、楚之俗，而人主无悼王、孝公之听，则法术之士安能蒙二子之危也而明
且以喜樂，且以永日,且以喜乐，且以永日
以權度受之,以权度受之
嚴親在圍，輕犯矢石，孝子之所以愛親也,严亲在围，轻犯矢石，孝子之所以爱亲也
取食之重者與禮之輕者而比之，奚翅食重,取食之重者与礼之轻者而比之，奚翅食重
事親難，事親焉可息哉,事亲难，事亲焉可息哉
乙酉，天子□六師之人于洛水之上,乙酉，天子□六师之人于洛水之上
表獨立兮山之上，雲容容兮而在下,表独立兮山之上，云容容兮而在下
夔曰：於,夔曰：于
遂不受,遂不受
,
,
荆、河惟豫州：伊、洛、瀍、澗既入于河，滎波既豬,荆、河惟豫州：伊、洛、瀍、涧既入于河，荥波既猪
其商苟在市者三十人，其正月、十二月黃金一鎰，命之曰正分,其商苟在市者三十人，其正月、十二月黄金一镒，命之曰正分
迎之致敬以有禮,迎之致敬以有礼
齊侯長矣，而欲親晉,齐侯长矣，而欲亲晋
王使爲工尹，又與子家謀弒穆王,王使为工尹，又与子家谋弑穆王
今有人於此，能生一死人，則天下必爭事之矣,今有人于此，能生一死人，则天下必争事之矣
臣聞：不知而言，不智,臣闻：不知而言，不智
楚使將軍之燕，過魏，見趙恢,楚使将军之燕，过魏，见赵恢
賓西階上北面荅拜,宾西阶上北面荅拜
若夫有道之士，必禮必知，然後其智能可盡,若夫有道之士，必礼必知，然后其智能可尽
是之不務，而又焉從事,是之不务，而又焉从事
,
,
庚寅，衛侯速卒,庚寅，卫侯速卒
上變古易常，應是而有天災，其諸則宜於此焉變矣,上变古易常，应是而有天灾，其诸则宜于此焉变矣
永錫爾極，時萬時億,永锡尔极，时万时亿
,
故用祝弗，即天下之理也,故用祝弗，即天下之理也
馬量三物，一曰戎馬，二曰田馬，三曰駑馬，皆有物賈,马量三物，一曰戎马，二曰田马，三曰驽马，皆有物贾
故學也者，禮法也,故学也者，礼法也
,
勇士一人，雄入於九軍,勇士一人，雄入于九军
五者圓而幾向方矣,五者圆而几向方矣
存陳也，曰存陳悕矣,存陈也，曰存陈悕矣
訾、讆之人得用，則人主之明蔽，而毀譽之言起,訾、讆之人得用，则人主之明蔽，而毁誉之言起
以其先晉，不可以不言師也,以其先晋，不可以不言师也
孟子對曰：昔者大王居邠，狄人侵之,孟子对曰：昔者大王居邠，狄人侵之
茍爲無本，七、八月之閒雨集，溝澮皆盈,茍为无本，七、八月之闲雨集，沟浍皆盈
夫政之不中，君之過也,夫政之不中，君之过也
佚而不惰，勞而不僈，宗原應變，曲得其宜，如是，然後聖人也,佚而不惰，劳而不僈，宗原应变，曲得其宜，如是，然后圣人也
遂去之,遂去之
天子外屏，諸侯內屏，禮也,天子外屏，诸侯内屏，礼也
對曰：不幸而有疾，不能造朝,对曰：不幸而有疾，不能造朝
,
見而不見，聞而不聞，知而不知，知其言以往，勿變勿更，以參合閱焉,见而不见，闻而不闻，知而不知，知其言以往，勿变勿更，以参合阅焉
周桓公言於王曰：我周之東遷，晉、鄭焉依,周桓公言于王曰：我周之东迁，晋、郑焉依
,
公肩假曰：不可,公肩假曰：不可
雖已盛滿，無德厚以安之，無度數以治之，則國非其國，而民無其民也,虽已盛满，无德厚以安之，无度数以治之，则国非其国，而民无其民也
又譬如車士之引車也，三人不能行，索二人，五人而車因行矣,又譬如车士之引车也，三人不能行，索二人，五人而车因行矣
,
,
殘均陵，塞鄳隘，苟利於楚，寡人如自有之,残均陵，塞𫑡隘，苟利于楚，寡人如自有之
一曰：造父爲齊王駙駕，以渴服馬，百日而服成,一曰：造父为齐王驸驾，以渴服马，百日而服成
,
桓公外舍而不鼎饋,桓公外舍而不鼎馈
國亡者，非無賢人，不能用也,国亡者，非无贤人，不能用也
冬，晉人執虞公,冬，晋人执虞公
《紀年》又云：出公二十三年奔楚，乃立昭公之孫，是爲敬公．,《纪年》又云：出公二十三年奔楚，乃立昭公之孙，是为敬公．
哀樂相生,哀乐相生
三國攻秦，趙攻中山，取扶柳，五年以擅呼沲,三国攻秦，赵攻中山，取扶柳，五年以擅呼沲
甸服者祭，侯服者祀，賓服者享，要服者貢，荒服者王,甸服者祭，侯服者祀，宾服者享，要服者贡，荒服者王
孔子對曰：言不可以若是其幾也,孔子对曰：言不可以若是其几也
命之曰暢月,命之曰畅月
且收君，失韓、魏之道也,且收君，失韩、魏之道也
子曰：夏道未瀆辭，不求備、不大望於民，民未厭其親,子曰：夏道未渎辞，不求备、不大望于民，民未厌其亲
王莽，一，魏惠王時人．《紀年》．,王莽，一，魏惠王时人．《纪年》．
宣公謂繆公曰：以吾愛與夷，則不若愛女,宣公谓缪公曰：以吾爱与夷，则不若爱女
往月致時，危往也,往月致时，危往也
田需死,田需死
吾於《武成》，取二三策而已矣,吾于《武成》，取二三策而已矣
孔子曰：道之以政，齊之以刑，民免而無恥,孔子曰：道之以政，齐之以刑，民免而无耻
慧子曰：狂者東走，逐者亦東走,慧子曰：狂者东走，逐者亦东走
與弟言，言承兄,与弟言，言承兄
若令桀、紂知必國亡身死，殄無後類，吾未知其爲無道之至於此也,若令桀、纣知必国亡身死，殄无后类，吾未知其为无道之至于此也
王曰：齊使來求東地五百里，爲之奈何,王曰：齐使来求东地五百里，为之奈何
,
吾不獲鱄也使主社稷,吾不获𫚋也使主社稷
濟河，及著雍，病，目出,济河，及著雍，病，目出
冬十一月，楚子滅蔡，用隱太子于岡山,冬十一月，楚子灭蔡，用隐太子于冈山
笑言啞啞，後有則也,笑言哑哑，后有则也
秋，七月，紀侯來朝,秋，七月，纪侯来朝
,
閔陳而存之也,闵陈而存之也
題彼脊令，載飛載鳴,题彼脊令，载飞载鸣
荀息對曰：使死者反生，生者不愧乎其言，則可謂信矣,荀息对曰：使死者反生，生者不愧乎其言，则可谓信矣
大閱者何,大阅者何
小國之卿與下大夫一命,小国之卿与下大夫一命
然則非自殺之也，一間耳,然则非自杀之也，一间耳
夫敬，德之恪也,夫敬，德之恪也
以天下之耳聽，則無不聞也,以天下之耳听，则无不闻也
《葛覃》曰：服之無射,《葛覃》曰：服之无射
俊也者，大也,俊也者，大也
乃令徙,乃令徙
可治者，趣治,可治者，趣治
故明主之治也，當於法者賞之，違於法者誅之,故明主之治也，当于法者赏之，违于法者诛之
在四官者不欲，利於生者則弗爲,在四官者不欲，利于生者则弗为
謂予不信，有如皦日,谓予不信，有如皦日
,
迹人，中士四人，下士八人，史二人，徒四十人,迹人，中士四人，下士八人，史二人，徒四十人
,
僕者右帶劒，負良綏，申之面，扡諸幦，以散綏升，執轡然後步,仆者右带剑，负良绥，申之面，扡诸幦，以散绥升，执辔然后步
桓公不聽，強相鮑叔,桓公不听，强相鲍叔
,
公曰：古而無死，其樂若何,公曰：古而无死，其乐若何
楚小臣，靳尚之仇也，謂張旄曰：以張儀之知，而有秦、楚之用，君必窮矣,楚小臣，靳尚之仇也，谓张旄曰：以张仪之知，而有秦、楚之用，君必穷矣
,
言必有主，行必有法，親人必有方,言必有主，行必有法，亲人必有方
周人弁而葬，殷人冔而葬,周人弁而葬，殷人冔而葬
他日，見於王，曰：王嘗語莊子以好樂，有諸,他日，见于王，曰：王尝语庄子以好乐，有诸
明何由出,明何由出
著於下，不見於上，謂之隕，豈雨說哉,著于下，不见于上，谓之陨，岂雨说哉
,
,
二與四同功而异位，其善不同：二多譽，四多懼，近也,二与四同功而异位，其善不同：二多誉，四多惧，近也
大王且何以報魏,大王且何以报魏
有夏之方興也，扈失弱而不恭，身死國亡,有夏之方兴也，扈失弱而不恭，身死国亡
,
蓄殖果木，不若三土以十分之三,蓄殖果木，不若三土以十分之三
《詩》曰：上天甚神，無自瘵也,《诗》曰：上天甚神，无自瘵也
立有神，則國家敬,立有神，则国家敬
與立于洗南者二人皆再拜稽首送觶,与立于洗南者二人皆再拜稽首送觯
抑臣願君安其樂而思其終也,抑臣愿君安其乐而思其终也
邂逅相遇，適我願兮,邂逅相遇，适我愿兮
武王、周公繼之，然後大行,武王、周公继之，然后大行
,
我徂維求定，時周之命,我徂维求定，时周之命
隕子，辱矣,陨子，辱矣
嘗言移是，非所言也,尝言移是，非所言也
,
成侯鄒忌爲齊相，田忌爲將，不相說,成侯邹忌为齐相，田忌为将，不相说
燉煌高納之郡府《紀年》曰：桀伐岷山，岷山女于桀二女，曰琬，曰琰．桀愛二女，無子，刻其名于苕華之玉，苕,炖煌高纳之郡府《纪年》曰：桀伐岷山，岷山女于桀二女，曰琬，曰琰．桀爱二女，无子，刻其名于苕华之玉，苕
魏王臣二人不善濟陽君，濟陽君因僞令人矯王命而謀攻己,魏王臣二人不善济阳君，济阳君因伪令人矫王命而谋攻己
,
君人者宣則直言至矣，而讒言反矣，君子邇而小人遠矣,君人者宣则直言至矣，而谗言反矣，君子迩而小人远矣
中河，孟賁瞋目而視船人，髮植，目裂，鬢指，舟中之人盡揚播入於河,中河，孟贲瞋目而视船人，发植，目裂，鬓指，舟中之人尽扬播入于河
,
風曰：然,风曰：然
可以死，可以無死，死傷勇,可以死，可以无死，死伤勇
,
賓皮弁，襲，迎于外門外，不拜，帥大夫以入,宾皮弁，袭，迎于外门外，不拜，帅大夫以入
及桓公死，蟲出戶不葬,及桓公死，虫出户不葬
尊晉罪己，禮也,尊晋罪己，礼也
四年，春，王二月，庚戌，盜弒蔡侯申,四年，春，王二月，庚戌，盗弑蔡侯申
十有三年，春，齊人、宋人、陳人、蔡人、邾人會于北杏,十有三年，春，齐人、宋人、陈人、蔡人、邾人会于北杏
齊侯伐萊，萊人使正輿子賂夙沙衛以索馬牛，皆百匹，齊師乃還,齐侯伐莱，莱人使正舆子赂夙沙卫以索马牛，皆百匹，齐师乃还
古之善守者，以其所重禁其所輕，以其所難止其所易，故君子與小人俱正，盜跖與曾、史俱廉，何以知之,古之善守者，以其所重禁其所轻，以其所难止其所易，故君子与小人俱正，盗跖与曾、史俱廉，何以知之
行夏令，則國多暴風，方冬不寒，蟄蟲復出,行夏令，则国多暴风，方冬不寒，蛰虫复出
守職之吏，人務其治，而莫敢淫偷其事,守职之吏，人务其治，而莫敢淫偷其事
仲曰：夫瓠所貴者，謂其可以盛也,仲曰：夫瓠所贵者，谓其可以盛也
,
訓方氏掌道四方之政事與其上下之志，誦四方之傳道,训方氏掌道四方之政事与其上下之志，诵四方之传道
令尹子玉使宛春來告曰：請復衛侯而封曹，臣亦釋宋之圍,令尹子玉使宛春来告曰：请复卫侯而封曹，臣亦释宋之围
,
,
請問之,请问之
擯者五人,摈者五人
今之人，焉能有之耶,今之人，焉能有之耶
樂驕樂，樂佚遊，樂宴樂，損矣,乐骄乐，乐佚游，乐宴乐，损矣
哀我憚人，亦可息也,哀我惮人，亦可息也
,
君薨，大子號稱子，待猶君也,君薨，大子号称子，待犹君也
,
,
綦母恢曰：不如以百金從之，韓咎立，因也以爲戒,綦母恢曰：不如以百金从之，韩咎立，因也以为戒
如何如何,如何如何
,
孔子曰：其禮與,孔子曰：其礼与
復，盡愛之道也，有禱祠之心焉,复，尽爱之道也，有祷祠之心焉
爾酒既湑，爾殽伊脯,尔酒既湑，尔殽伊脯
知失於內，兵困於外，非善舉也,知失于内，兵困于外，非善举也
中心好之，曷飲食之,中心好之，曷饮食之
冬十有一月己酉，楚子麇卒,冬十有一月己酉，楚子麇卒
,
又柔則錈，堅則折,又柔则锩，坚则折
,
整我六師，以脩我戎,整我六师，以修我戎
王順、長息，則事我者也,王顺、长息，则事我者也
,
,
,
《象》曰：其行次且，行未牽也,《象》曰：其行次且，行未牵也
因技能，則不急而自疾,因技能，则不急而自疾
上不事馬於戰鬭逐北，而民不以馬遠淫通物，所積力唯田疇,上不事马于战鬭逐北，而民不以马远淫通物，所积力唯田畴
學豈可以已哉,学岂可以已哉
夏父展諫宗婦覿哀姜用幣,夏父展谏宗妇觌哀姜用币
君子易知而難狎，易懼而難脅，畏患而不避義死，欲利而不爲所非，交親而不比，言辯而不辭，蕩蕩乎，其有以殊,君子易知而难狎，易惧而难胁，畏患而不避义死，欲利而不为所非，交亲而不比，言辩而不辞，荡荡乎，其有以殊
將氾氾若水中之鳧乎,将泛泛若水中之凫乎
,
赤者何,赤者何
若王不與祭祀，則攝位,若王不与祭祀，则摄位
冬十月，季平子如晉葬昭公,冬十月，季平子如晋葬昭公
自時厥後，亦罔或克壽,自时厥后，亦罔或克寿
齊侯使高張來唁公，稱主君,齐侯使高张来唁公，称主君
遲，有悔,迟，有悔
謂薛公曰：楚之勢可多割也,谓薛公曰：楚之势可多割也
君子之道，焉可誣也,君子之道，焉可诬也
利有攸往，終則有始也,利有攸往，终则有始也
故君子責人則以人，自責則以義,故君子责人则以人，自责则以义
公會晉侯、宋公、衛侯、鄭伯、曹伯、莒子、邾子、滕子、薛伯、杞伯、小邾子于夷儀,公会晋侯、宋公、卫侯、郑伯、曹伯、莒子、邾子、滕子、薛伯、杞伯、小邾子于夷仪
利夫秋豪，害靡國家，然且爲之，幾爲知計哉,利夫秋豪，害靡国家，然且为之，几为知计哉
,
,
